Portuguese,French,Italian,Spanish,Catalan,Provencal,Ladin,Sardinian,Romanian,German,Dutch,Afrikaans,English,Icelandic,Norwegian,Swedish,Faroese,Danish,Breton,Welsh,Irish,Bulgarian,Slovenian,Serbo-Croatian,Russian,Belarusian,Ukrainian,Czech,Slovak,Polish,Lithuanian,Latvian,Romani,Singhalese,Kashmiri,Khaskura,Nepali,Bengali,Lahnda,Panjabi,Hindi,Marathi,Gujarati,Pashto,Persian,Tajik,Baluchi,Albanian,Armenian,Greek,,Maranao,Mansaka,Hanunoo,Tagalog,Cebuano,,Javanese,Bali,Sasak,Sunda,Iban,Indonesian
TODO,TOUT,TUTTO,TODO,TOT,TOUT,TUOT,TOTTU,TOTI,ALLE,ALLES,AL,ALL,ALLIR,ALLE,ALL,ALLIR,AL,HOLL,PAWB,UILE,BSICKO,CELO,SAV,VSE,WSE,UVES,VSE,VSETKO,WSZYSCY,VISAS,VISS,SAVORA,OKKAMA,SORI,SABAI,SAB,SOB,SEBU,SEB,SEB,SERVE,BEDHA,TOL,HAME,XAMA,KULL,GITHE,BOLOR,OLOS,,BELOS,KARIKUQA,TANAN,LAHAT,TANAN,,KABEH,MAKEJANG,SELAPUQ,KABEH,ABIS,SEMUA
E,ET,E,Y,E,E,E,E,IAR,UND,EN,EN,AND,OG,OG,OCH,OG,OG,HA,A,AGUS,I,IN,I,I,I,I,A,A,I,IR,UN,DA,SAHA,TA,ARU,AU,AR,TE,TE,OR,ANI,ANE,AU,VA,VA,GUDA,DHE,EW,KE,,AGO,0,KAG,AT,UG,,LAN,MUAH,DAIT,JEUNG,ENGAU,DAN
ANIMAL,ANIMAL,ANIMALE,ANIMAL,ANIMAL,ANIMAU,ANIMAL,ANIMALI,ANIMAL,TIER,DIER,DIER,ANIMAL,DYR,DYR,DJUR,DYRUR,DYR,LOEN,ANIFAIL,AINMHE,ZIVOTNO,ZIVALI,ZIVOTINJA,ZIVOTNOE,ZYVELA,TVARYNA,ZVIRE,ZVER,ZWIERZE,GYVULYS,DZIVNIEKS,PEDO,SATA,JANAWAR,JANTU,PASU,JANOAR,JANWER,JANVER,JANVER,PRANI,JANWER,HAJVAN,HEYVAN,XAJVON,JANWAR,KAFSE,KENDANI,ZOO,,0,0,0,HAYOP,0,,0,0,0,0,0,BINATANG
CINZA,CENDRE,CENERE,CENIZA,CENDRA,CENDRE,TSCHENDRA,CINIZU,CENUSA,ASCHE,ASCH,AS,ASHES,ASKA,ASKE,ASKA,OSKA,ASKE,LUDU,LLUDW,LUAITH,PEPEL,PEPJU,PEPEO,ZOLA,POPEL,POPIL,POPEL,POPOL,POPIOL,PELENAI,PELNI,PRAXORA,ALU,KHAKH,KHARANI,KHAG,CHAI,SWA,SVA,RAKH,RAKH,RAKH,IRA,KHAKESTAR,XOKISTAR,PHUR,HI,MOXIR,STAKHTI,,OMBI,QABU,AYUM,ABO,AGIW,,AWU,AON,AWUAWU,LEBU,ABU,ABU
EM,A,A,A,AB,A,A,A,LA,AN,TE,TE,AT,VIO,VED,VID,VID,VED,E,YN,AIG,NA,NE,KOD,V,PRY,V,U,PRI,W,PRIE,UZ,KAI,E,KANI,MA,MA,E,UTTE,TE,PAR,0,0,DE,0,DAR,A,NE,HET,SE,,SAN,0,SA,SA,SA,,ANA,DI,LEQ,DI,BA,DI
COSTAS,DOS,DORSO,DORSO,ESPATLLAS,ESQUINO,DOSS,SKINA,SPATE,RUCKEN,RUG,RUG,BACK,BAK,RYGG,RYGG,BAK,BAG,KEIN,CEFEN,DROM,GRUB,HERBET,POZADI,SPINA,ZAD,SPYNA,ZPATKY,NAZPAT,PLECY,NUGARA,MUGURA,DUMO,PASSA,PYUTHU,KANDO,PITH,PIT,PICCHE,PITTH,PITH,PATH,PITH,SA,POSHT,PUST,PHUSHT,KURIS,TIKUNK,PLATI,,LIKOD,LIKUD NANG QUTAW,DAYU,LIKOD,LIKOD,,GEGER,TUNDUN,BONKOR,TONGGONG,BELAKAN,PUNGGUNG
MAO,MAUVAIS,CATTIVO,MAL,MAL,MARRIT,MEL,MALU,RAU,SCHLECHT,SLECHT,SLEG,BAD,LELEGUR,DARLIG,DALIG,ILLUR,OND,FALL,DRWG,OLC,LOSO,SLABU,ZAO,PLOXOJ,BLAGI,POGANYJ,SPATNY,ZLY,ZLY,BLOGAS,SLIKTS,NASUL,NARAKA,MADA,NARAMRO,GHATIYA,KHARAP,BURA,PERA,KHERAB,VAIT,KNERAB,BAD,BAD,BAD,GANDAGH,ILIK,VAT,KAKOS,,MARATAQ,MAQAT,DAUT,MASAMA,DAUTAN,,ELEK,BELER,JAHAT,JAHAT,JAI,JAHAT
CORTICA,ECORCE,SCORZA,CORTEZA,ESCORXZ,RUSCO,SCORZA,KROZU,SCOARTA,RINDE,SCHORS,BAS,BARK,BORKUR,BARK,BARK,BORKUR,BARK,RUSK,RHISGL,COIRT,KORA,LUPOD DRVA,KORA,KORA,KARA,XYNA,KURA,KORA,KORA,MEDZIO ZIEVE,MIZA,KOZA,POTTA,DEL,BOKRA,BOKRO,CHAL,CHAL,CHELL,CHAL,SAL,CHAL,POST,PUST,PUST,GAWAZ,CIPE,KETEW,FLUDHA,,0,0,0,BALAT NG PUNO,0,,0,0,0,0,0,KULIT KAYU
PORQUE,PARCEQUE,PERCHE,PORQUE,PEOQUE,PER CO QUE,CAUSACHA,POITA,FIINDCA,WEIL,OMDAT,OMDAT,BECAUSE,AF THVI AO,FORDI,EMEDAN,TI,FORDI,PEOGWIR,ACHOS,MAR,ZASCOTO,ZATO,ZATO,POTOMU CTO,TAMU,CEREZ TE,PROTOZE,BO,DLATEGO ZE,TODEL KAD,TAPEC KA,EPIDHI,NISA,NEMATI,KINAKI,KASOGARI BHANE,KARON,KYUKE,KYOKE,KYOKE,KAREN,KAREN KE,DZEKA CE,CHUN,BAROI,PHA HAW AN SAUAV,SE,OROVHETEW,YATI,,0,0,0,0,0,,0,0,0,0,0,0
VENTRE,VENTRE,VENTRE,VIENTRE,VENTRE,VENTRE,VAINTER,BRENTI,PINTEC,BAUCH,BUIK,BUIK,BELLY,MAGI,MAVE,BUK,BUKUR,BUG,KOF,BOLA,BOLG,KOREM,TREBUH,TRBUH,ZIVOT,BRUXA,SLUNOK,BRICHO,BRUCHO,BRZUCH,PILVAS,VEDERS,GII,BADA,MYADA,BHUNRI,PET,PET,PET,PET,PET,POT,PET,NAS,SHEKAM,SIKAM,LAF,BARK,MANOOG,KILYA,,BABAT,DEBDEB,TIYAN,TIYAN,TIYAN,,WETEN,BASANG,TIAN,BEUTEUNG,PERUT,PERUT
